unit_a,unit_b,median,hdi_low,hdi_high,hdi_string
unit_1,unit_1,0.0,0.0,0.0,"0 [0, 0]"
unit_1,unit_2,1.3764011859893799,0.020101383328437805,1.9532086253166199,"1.3764 [0.0201014, 1.95321]"
unit_1,unit_3,0.860530436038971,0.022267401218414307,1.8842609524726868,"0.86053 [0.0222674, 1.88426]"
unit_1,unit_4,1.2008547186851501,0.03796052932739258,1.858168601989746,"1.20085 [0.0379605, 1.85817]"
unit_2,unit_1,1.3764011859893799,0.020101383328437805,1.9532086253166199,"1.3764 [0.0201014, 1.95321]"
unit_2,unit_2,0.0,0.0,0.0,"0 [0, 0]"
unit_2,unit_3,1.1554224491119385,0.021119222044944763,1.8972975611686707,"1.15542 [0.0211192, 1.8973]"
unit_2,unit_4,1.3515731692314148,0.0254298597574234,1.8396774530410767,"1.35157 [0.0254299, 1.83968]"
unit_3,unit_1,0.860530436038971,0.022267401218414307,1.8842609524726868,"0.86053 [0.0222674, 1.88426]"
unit_3,unit_2,1.1554224491119385,0.021119222044944763,1.8972975611686707,"1.15542 [0.0211192, 1.8973]"
unit_3,unit_3,0.0,0.0,0.0,"0 [0, 0]"
unit_3,unit_4,0.9342559576034546,0.14877140522003174,1.95708566904068,"0.934256 [0.148771, 1.95709]"
unit_4,unit_1,1.2008547186851501,0.03796052932739258,1.858168601989746,"1.20085 [0.0379605, 1.85817]"
unit_4,unit_2,1.3515731692314148,0.0254298597574234,1.8396774530410767,"1.35157 [0.0254299, 1.83968]"
unit_4,unit_3,0.9342559576034546,0.14877140522003174,1.95708566904068,"0.934256 [0.148771, 1.95709]"
unit_4,unit_4,0.0,0.0,0.0,"0 [0, 0]"
