source_index,freq_hz,node_id
0,1000000000.0,1
2,1003924133.4205363,20
6,1011772400.2616088,1
8,1015696533.6821452,20
10,1019620667.1026815,12
12,1023544800.5232178,20
21,1041203400.9156312,1
24,1047089601.0464356,20
26,1051013734.4669719,1
29,1056899934.5977763,20
31,1060824068.0183126,20
36,1070634401.5696534,12
37,1072596468.2799215,20
41,1080444735.120994,12
46,1090255068.672335,20
49,1096141268.8031392,20
53,1103989535.644212,20
55,1107913669.0647483,20
56,1109875735.7750163,12
59,1115761935.9058208,20
60,1117724002.6160889,12
61,1119686069.3263571,12
62,1121648136.0366251,12
68,1133420536.2982342,20
70,1137344669.7187705,12
72,1141268803.1393068,12
78,1153041203.4009156,12
80,1156965336.821452,12
84,1164813603.6625245,12
85,1166775670.3727927,12
94,1184434270.765206,12
95,1186396337.475474,12
96,1188358404.1857424,12
101,1198168737.737083,12
106,1207979071.2884238,4
108,1211903204.70896,12
112,1219751471.5500326,12
114,1223675604.9705691,12
116,1227599738.3911052,4
121,1237410071.942446,12
123,1241334205.3629823,4
124,1243296272.0732505,12
126,1247220405.4937868,4
127,1249182472.2040548,4
129,1253106605.6245914,4
131,1257030739.0451276,12
135,1264879005.8862002,4
138,1270765206.0170045,4
139,1272727272.7272727,4
140,1274689339.437541,4
145,1284499672.9888816,4
146,1286461739.6991498,4
147,1288423806.4094179,4
151,1296272073.2504907,4
152,1298234139.9607587,4
153,1300196206.6710267,4
160,1313930673.6429038,4
161,1315892740.353172,4
162,1317854807.06344,6
164,1321778940.4839764,4
165,1323741007.1942446,6
171,1335513407.4558535,4
180,1353172007.8482668,6
181,1355134074.558535,6
182,1357096141.2688031,6
186,1364944408.1098757,6
190,1372792674.9509482,6
193,1378678875.0817528,6
197,1386527141.9228253,4
200,1392413342.0536299,6
203,1398299542.1844344,4
205,1402223675.6049705,6
212,1415958142.5768476,6
218,1427730542.8384566,10
222,1435578809.6795292,10
223,1437540876.3897972,10
225,1441465009.8103335,10
227,1445389143.2308698,10
229,1449313276.6514063,17
231,1453237410.0719423,6
233,1457161543.4924788,10
235,1461085676.9130151,10
237,1465009810.3335514,6
239,1468933943.7540877,17
241,1472858077.174624,17
244,1478744277.3054285,10
245,1480706344.0156965,17
248,1486592544.146501,8
250,1490516677.5670373,8
252,1494440810.9875736,17
253,1496402877.6978416,17
257,1504251144.5389142,10
258,1506213211.2491825,17
260,1510137344.6697187,10
261,1512099411.379987,17
265,1519947678.2210596,10
266,1521909744.9313278,17
267,1523871811.6415958,10
275,1539568345.323741,10
276,1541530412.0340092,10
282,1553302812.295618,17
284,1557226945.7161543,8
286,1561151079.1366906,8
288,1565075212.557227,17
291,1570961412.6880314,8
292,1572923479.3982997,17
296,1580771746.2393723,8
298,1584695879.6599083,5
300,1588620013.0804448,8
302,1592544146.500981,8
309,1606278613.472858,5
310,1608240680.1831262,5
311,1610202746.8933945,5
312,1612164813.6036625,8
315,1618051013.734467,5
317,1621975147.1550033,5
319,1625899280.5755396,5
321,1629823413.9960759,5
323,1633747547.4166121,5
326,1639633747.5474167,5
331,1649444081.0987573,5
336,1659254414.650098,5
337,1661216481.3603663,19
338,1663178548.0706344,5
342,1671026814.911707,19
344,1674950948.3322434,5
351,1688685415.3041203,19
354,1694571615.4349248,19
357,1700457815.5657291,19
359,1704381948.9862657,19
360,1706344015.6965337,19
364,1714192282.5376062,19
370,1725964682.7992153,19
373,1731850882.9300196,19
374,1733812949.6402879,19
375,1735775016.350556,19
377,1739699149.7710922,19
378,1741661216.4813604,19
379,1743623283.1916285,5
388,1761281883.5840418,19
392,1769130150.4251146,19
395,1775016350.555919,19
396,1776978417.2661872,19
398,1780902550.6867232,19
401,1786788750.8175278,19
403,1790712884.238064,19
406,1796599084.3688686,3
409,1802485284.499673,19
415,1814257684.761282,3
417,1818181818.1818182,19
422,1827992151.733159,19
428,1839764551.9947677,19
430,1843688685.4153042,19
434,1851536952.2563767,3
436,1855461085.676913,3
437,1857423152.3871813,19
438,1859385219.0974493,3
441,1865271419.2282538,3
449,1880967952.910399,19
450,1882930019.620667,3
455,1892740353.172008,3
458,1898626553.3028123,3
467,1916285153.6952257,3
468,1918247220.4054937,3
472,1926095487.2465663,3
482,1945716154.349248,3
484,1949640287.7697842,3
487,1955526487.9005885,3
488,1957488554.6108568,3
491,1963374754.741661,3
497,1975147155.0032701,3
500,1981033355.1340747,3
504,1988881621.9751472,3
505,1990843688.6854153,3
509,1998691955.5264878,3
511,2002616088.9470243,3
512,2004578155.6572924,3
515,2010464355.788097,7
516,2012426422.498365,7
517,2014388489.208633,3
523,2026160889.470242,7
525,2030085022.8907783,7
526,2032047089.6010466,7
529,2037933289.7318509,7
531,2041857423.1523871,7
532,2043819489.8626554,7
533,2045781556.5729237,7
539,2057553956.8345323,7
540,2059516023.5448005,7
541,2061478090.2550688,7
542,2063440156.9653368,7
546,2071288423.8064094,7
549,2077174623.937214,7
553,2085022890.7782865,7
556,2090909090.909091,7
557,2092871157.619359,7
558,2094833224.3296273,7
563,2104643557.8809679,25
564,2106605624.591236,25
566,2110529758.0117724,25
569,2116415958.142577,25
571,2120340091.5631132,25
576,2130150425.1144538,25
577,2132112491.824722,25
582,2141922825.3760629,23
583,2143884892.086331,25
584,2145846958.7965991,23
585,2147809025.5068674,25
587,2151733158.9274035,11
592,2161543492.4787445,11
593,2163505559.1890125,11
596,2169391759.3198166,11
600,2177240026.1608896,11
603,2183126226.2916937,11
606,2189012426.4224987,9
609,2194898626.553303,9
615,2206671026.814912,9
616,2208633093.52518,9
619,2214519293.6559844,9
623,2222367560.497057,9
632,2240026160.88947,2
640,2255722694.571615,30
641,2257684761.2818837,28
642,2259646827.9921517,28
643,2261608894.70242,28
644,2263570961.4126883,28
647,2269457161.5434923,16
652,2279267495.0948334,21
657,2289077828.646174,14
660,2294964028.7769785,14
671,2316546762.589928,22
675,2324395029.4310007,26
677,2328319162.8515368,26
678,2330281229.561805,26
680,2334205362.982342,26
683,2340091563.113146,26
684,2342053629.823414,26
685,2344015696.533682,0
690,2353826030.085023,0
694,2361674296.9260955,0
697,2367560497.0569,0
698,2369522563.767168,0
699,2371484630.477436,0
700,2373446697.187704,0
702,2377370830.6082406,0
703,2379332897.318509,0
709,2391105297.5801177,0
711,2395029431.000654,0
712,2396991497.7109222,0
713,2398953564.4211903,0
718,2408763897.9725313,0
723,2418574231.523872,0
724,2420536298.23414,0
726,2424460431.6546764,0
729,2430346631.7854805,0
731,2434270765.206017,0
734,2440156965.3368216,0
735,2442119032.0470896,0
746,2463701765.860039,0
747,2465663832.5703077,0
750,2471550032.701112,0
753,2477436232.8319163,0
759,2489208633.093525,0
760,2491170699.8037934,0
763,2497056899.934598,0
767,2504905166.77567,0
769,2508829300.196207,0
773,2516677567.037279,26
777,2524525833.878352,26
788,2546108567.6913013,22
791,2551994767.822106,22
792,2553956834.5323744,22
797,2563767168.083715,14
804,2577501635.0555916,21
808,2585349901.8966646,21
813,2595160235.448005,16
818,2604970568.999346,30
827,2622629169.3917594,2
828,2624591236.1020274,2
829,2626553302.812296,2
832,2632439502.9431,9
843,2654022236.7560496,15
847,2661870503.597122,15
850,2667756703.7279267,15
851,2669718770.438195,15
853,2673642903.8587313,15
860,2687377370.8306084,11
861,2689339437.5408764,31
863,2693263570.9614124,18
866,2699149771.0922174,23
869,2705035971.2230215,23
870,2706998037.9332895,23
871,2708960104.643558,23
873,2712884238.0640945,23
878,2722694571.6154346,13
881,2728580771.7462397,23
888,2742315238.7181168,13
890,2746239372.138653,13
893,2752125572.269457,13
894,2754087638.9797254,13
897,2759973839.11053,13
899,2763897972.531066,13
900,2765860039.241334,13
902,2769784172.6618705,13
903,2771746239.372139,13
904,2773708306.082407,13
911,2787442773.054284,13
913,2791366906.47482,13
915,2795291039.895356,13
917,2799215173.3158927,13
924,2812949640.28777,13
925,2814911706.9980383,13
932,2828646173.969915,13
933,2830608240.6801834,5
935,2834532374.1007195,24
