node_id,occupancy_count,occupancy_fraction,mean_freq_hz
0,70,0.13671875,3708661123.0496125
1,12,0.0234375,2494277305.428385
2,45,0.087890625,2385960322.65097
3,53,0.103515625,2256129915.964313
4,16,0.03125,2714355788.096795
5,9,0.017578125,2503161107.4776545
6,6,0.01171875,2545127534.336168
7,3,0.005859375,2275343361.674297
8,5,0.009765625,2572400261.6088943
9,3,0.005859375,2300196206.6710267
10,0,0.0,
11,14,0.02734375,2101560310.193404
12,26,0.05078125,2100719424.4604318
13,5,0.009765625,2316154349.2478743
14,57,0.111328125,1997590444.3908987
15,48,0.09375,2153163832.5703073
16,5,0.009765625,2333812949.640288
17,34,0.06640625,1975435694.2253685
18,3,0.005859375,2537606278.6134725
19,0,0.0,
20,20,0.0390625,1903826030.0850232
21,1,0.001953125,2285153695.2256374
22,0,0.0,
23,0,0.0,
24,17,0.033203125,2388450736.736814
25,0,0.0,
26,7,0.013671875,2172194711.7630568
27,47,0.091796875,3109305205.7386975
28,3,0.005859375,2551994767.822106
29,0,0.0,
30,1,0.001953125,2353826030.085023
31,2,0.00390625,2751144538.9143233
