source_index,freq_hz,node_id
0,1000000000.0,9
7,1013734466.9718771,2
8,1015696533.6821452,2
11,1021582733.8129497,2
20,1039241334.205363,20
21,1041203400.9156312,20
24,1047089601.0464356,4
29,1056899934.5977763,20
32,1062786134.7285807,9
34,1066710268.1491171,3
39,1076520601.7004578,2
42,1082406801.8312624,20
43,1084368868.5415304,20
44,1086330935.2517986,31
47,1092217135.382603,4
48,1094179202.0928712,4
49,1096141268.8031392,28
56,1109875735.7750163,31
62,1121648136.0366251,24
68,1133420536.2982342,21
69,1135382603.0085022,21
71,1139306736.4290385,4
74,1145192936.559843,4
77,1151079136.6906476,9
79,1155003270.111184,21
83,1162851536.9522564,9
85,1166775670.3727927,20
86,1168737737.0830607,4
89,1174623937.2138653,4
93,1182472204.0549378,4
94,1184434270.765206,9
97,1190320470.8960104,21
99,1194244604.3165467,3
110,1215827338.1294963,3
111,1217789404.8397646,4
112,1219751471.5500326,3
113,1221713538.2603009,4
115,1225637671.6808372,3
121,1237410071.942446,9
124,1243296272.0732505,20
125,1245258338.7835186,4
133,1260954872.465664,4
135,1264879005.8862002,9
136,1266841072.5964682,3
137,1268803139.3067365,9
139,1272727272.7272727,4
142,1278613472.858077,21
147,1288423806.4094179,9
148,1290385873.1196861,9
152,1298234139.9607587,1
156,1306082406.8018312,3
157,1308044473.5120995,4
158,1310006540.2223675,28
166,1325703073.904513,4
174,1341399607.586658,2
175,1343361674.296926,2
176,1345323741.0071943,20
179,1351209941.1379986,1
190,1372792674.9509482,2
191,1374754741.6612165,2
192,1376716808.3714848,20
193,1378678875.0817528,3
198,1388489208.6330936,21
199,1390451275.3433616,21
200,1392413342.0536299,1
206,1404185742.3152387,4
213,1417920209.2871158,9
215,1421844342.707652,9
217,1425768476.1281884,20
226,1443427076.5206017,1
230,1451275343.3616743,4
236,1463047743.6232831,1
239,1468933943.7540877,27
243,1476782210.5951602,9
244,1478744277.3054285,9
247,1484630477.4362328,21
250,1490516677.5670373,3
253,1496402877.6978416,2
267,1523871811.6415958,1
275,1539568345.323741,3
282,1553302812.295618,2
283,1555264879.005886,2
284,1557226945.7161543,2
295,1578809679.529104,28
