model,fold,accuracy,f1_macro,auc_roc,brier,feature_layer,task
LogReg,1,0.9825,0.9792159977434511,0.9984821428571429,0.015611985866618928,rf,binary_cluster
LogReg,2,0.9925,0.9910500525809411,0.9995833333333334,0.011019803249278646,rf,binary_cluster
LogReg,3,1.0,1.0,1.0,0.010864851434018634,rf,binary_cluster
LogReg,4,0.975,0.9699483110950835,0.9991071428571429,0.013589227382470974,rf,binary_cluster
LogReg,5,0.9775,0.9732777113844373,0.9992523699871407,0.015001630594534547,rf,binary_cluster
LinearSVM,1,0.985,0.9822269616991024,,,rf,binary_cluster
LinearSVM,2,0.9925,0.9910500525809411,,,rf,binary_cluster
LinearSVM,3,0.9975,0.997016684193647,,,rf,binary_cluster
LinearSVM,4,0.99,0.9880952380952381,,,rf,binary_cluster
LinearSVM,5,0.9925,0.991092570461479,,,rf,binary_cluster
RBF-SVM,1,0.97,0.9639379733141002,0.995297619047619,0.022397113579792613,rf,binary_cluster
RBF-SVM,2,0.9725,0.9668612314065148,0.9977976190476191,0.01769872739839062,rf,binary_cluster
RBF-SVM,3,0.9675,0.9608360007531538,0.9968154761904762,0.021090205019570332,rf,binary_cluster
RBF-SVM,4,0.9775,0.9731501577428232,0.9980357142857142,0.0180685595895156,rf,binary_cluster
RBF-SVM,5,0.97,0.9639379733141002,0.9967104279434194,0.021874127112822078,rf,binary_cluster
RandomForest,1,1.0,1.0,1.0,0.0028475625000000003,rf,binary_cluster
RandomForest,2,1.0,1.0,1.0,0.0019329375000000002,rf,binary_cluster
RandomForest,3,1.0,1.0,1.0,0.0019242500000000002,rf,binary_cluster
RandomForest,4,1.0,1.0,1.0,0.0016690625000000004,rf,binary_cluster
RandomForest,5,1.0,1.0,1.0,0.002430125,rf,binary_cluster
GradBoost,1,1.0,1.0,1.0,2.2211231483689063e-16,rf,binary_cluster
GradBoost,2,1.0,1.0,1.0,2.2211231483689063e-16,rf,binary_cluster
GradBoost,3,1.0,1.0,1.0,2.221123148368907e-16,rf,binary_cluster
GradBoost,4,1.0,1.0,1.0,2.2211231483689063e-16,rf,binary_cluster
GradBoost,5,1.0,1.0,1.0,1.809817834463456e-16,rf,binary_cluster
k-NN (k=7),1,0.93,0.9127154836497398,0.9773660714285713,0.05566326530612245,rf,binary_cluster
k-NN (k=7),2,0.925,0.9089363768819816,0.9751488095238096,0.05816326530612245,rf,binary_cluster
k-NN (k=7),3,0.9175,0.8962582227147337,0.9765625000000001,0.06066326530612245,rf,binary_cluster
k-NN (k=7),4,0.9325,0.9165217391304348,0.9841964285714286,0.05239795918367347,rf,binary_cluster
k-NN (k=7),5,0.9175,0.8985169638120718,0.9654594934059033,0.06357142857142857,rf,binary_cluster
GaussProcC,1,0.9925,0.9910500525809411,0.9995535714285714,0.0076881822489696305,rf,binary_cluster
GaussProcC,2,0.9975,0.9970308568204931,0.9998511904761905,0.004388435871639139,rf,binary_cluster
GaussProcC,3,0.995,0.9940476190476191,0.9999107142857143,0.0057221635589261325,rf,binary_cluster
GaussProcC,4,0.99,0.9880952380952381,0.9997619047619049,0.006140059889273618,rf,binary_cluster
GaussProcC,5,0.9925,0.9910500525809411,0.9998504739974282,0.006695146912526134,rf,binary_cluster
LogReg,1,0.7025,0.49881547775730456,0.5609226190476191,0.21218313948927556,tda,binary_cluster
LogReg,2,0.6925,0.497954060755722,0.6004464285714285,0.20729162221263814,tda,binary_cluster
LogReg,3,0.71,0.5241025641025641,0.6135714285714287,0.20330861511736825,tda,binary_cluster
LogReg,4,0.6875,0.5047102059414964,0.5858630952380952,0.2107139179582532,tda,binary_cluster
LogReg,5,0.6825,0.48682203432635296,0.5979245790843027,0.20817044251386613,tda,binary_cluster
LinearSVM,1,0.7075,0.48475740661227995,,,tda,binary_cluster
LinearSVM,2,0.695,0.4834010840108401,,,tda,binary_cluster
LinearSVM,3,0.7125,0.5156620163200842,,,tda,binary_cluster
LinearSVM,4,0.6875,0.49490357709286703,,,tda,binary_cluster
LinearSVM,5,0.6825,0.4762832606521717,,,tda,binary_cluster
RBF-SVM,1,0.7075,0.44533333333333336,0.5289583333333334,0.2068416497443402,tda,binary_cluster
RBF-SVM,2,0.71,0.45362912721963167,0.5713988095238095,0.2031830109865323,tda,binary_cluster
RBF-SVM,3,0.7,0.42737163580836035,0.5727678571428572,0.20808571432232853,tda,binary_cluster
RBF-SVM,4,0.705,0.4580941446613088,0.5914583333333333,0.20552908454875357,tda,binary_cluster
RBF-SVM,5,0.7075,0.43797960874734304,0.5448727533718114,0.20811410752795878,tda,binary_cluster
RandomForest,1,0.6825,0.48162736354452595,0.5816964285714286,0.21133981249999997,tda,binary_cluster
RandomForest,2,0.695,0.5094688593140606,0.6185565476190477,0.204295,tda,binary_cluster
RandomForest,3,0.6775,0.46803575294590666,0.5607886904761905,0.215417,tda,binary_cluster
RandomForest,4,0.6975,0.479116219503008,0.6261755952380952,0.2016608125,tda,binary_cluster
RandomForest,5,0.6875,0.4618969209741818,0.5746284278836089,0.2106945,tda,binary_cluster
GradBoost,1,0.6825,0.4918729682420605,0.558422619047619,0.22483549836244837,tda,binary_cluster
GradBoost,2,0.6725,0.50862254897364,0.547202380952381,0.22609857741556674,tda,binary_cluster
GradBoost,3,0.6375,0.4652948714402928,0.5425297619047619,0.2319951824799911,tda,binary_cluster
GradBoost,4,0.675,0.5102471368294154,0.6164880952380952,0.21137711808978657,tda,binary_cluster
GradBoost,5,0.6675,0.5053877406818583,0.5881156733155894,0.21772615810180163,tda,binary_cluster
k-NN (k=7),1,0.64,0.4755244755244755,0.5211011904761905,0.2422959183673469,tda,binary_cluster
k-NN (k=7),2,0.6725,0.5394418809052955,0.5773065476190476,0.22525510204081634,tda,binary_cluster
k-NN (k=7),3,0.66,0.5125448028673835,0.5498958333333334,0.22923469387755102,tda,binary_cluster
k-NN (k=7),4,0.7,0.5593257684256913,0.6353125,0.20469387755102042,tda,binary_cluster
k-NN (k=7),5,0.6825,0.5277010756886917,0.5529471575106911,0.22683673469387755,tda,binary_cluster
GaussProcC,1,0.7075,0.4524458588293105,0.6157738095238096,0.20252507993715155,tda,binary_cluster
GaussProcC,2,0.7125,0.4751195244126473,0.6358333333333334,0.1995767028528435,tda,binary_cluster
GaussProcC,3,0.6975,0.440843817511755,0.6001785714285715,0.2042266422470596,tda,binary_cluster
GaussProcC,4,0.7075,0.48475740661227995,0.6263095238095238,0.20330348443691926,tda,binary_cluster
GaussProcC,5,0.7075,0.44533333333333336,0.6176620114237865,0.20207300989653046,tda,binary_cluster
LogReg,1,0.7025,0.49881547775730456,0.6236607142857142,0.20170116514250302,ae,binary_cluster
LogReg,2,0.6925,0.5029851198593812,0.6111904761904762,0.20333975834528256,ae,binary_cluster
LogReg,3,0.68,0.49524823534051027,0.57125,0.21423229060769755,ae,binary_cluster
LogReg,4,0.6525,0.45446874478752736,0.5472023809523809,0.21931380451892502,ae,binary_cluster
LogReg,5,0.71,0.5088075880758808,0.583450462035348,0.20687637094053393,ae,binary_cluster
LinearSVM,1,0.6975,0.46714227521440915,,,ae,binary_cluster
LinearSVM,2,0.695,0.48891960956809516,,,ae,binary_cluster
LinearSVM,3,0.68,0.48018193632228723,,,ae,binary_cluster
