model,rmse,mae,r2,preds,true,feature_layer
Ridge,0.2073793280079454,0.17890358150876584,0.9163620673237362,"[-2.3721861876482766, -2.845776458582086, -1.380620181150522, -1.8245252743516205]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",rf
LinearSVR,0.2877546992136505,0.2520924645407811,0.8389661362729064,"[-2.3418019344315524, -2.821486671034459, -1.4738716394466125, -1.9693553074192398]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",rf
RBF-SVR,0.7554882702607066,0.664341428573687,-0.11001236229810862,"[-2.3244088473073408, -2.3485445716289934, -2.297463649077008, -2.304423967390791]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",rf
RandomForest,0.22111044762913304,0.1704580879357392,0.9049196237888468,"[-2.639944641572569, -2.864774936925321, -1.4393711437675178, -1.859070325983393]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",rf
GradBoost,0.13144756512838346,0.11320596608758438,0.9663970461430909,"[-2.6760020013419754, -2.882752540866341, -1.2834174192359789, -1.7319805994118864]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",rf
k-NN (k=7),0.43698407368380826,0.31914628662598654,0.6286327669967862,"[-2.4732671768942716, -2.8319665802123835, -1.8582329754913645, -1.9951544113559534]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",rf
GaussProcR,0.2717043449189843,0.22541011048350706,0.8564293949176467,"[-2.5538960472893466, -3.065374016921631, -0.8219952432523527, -1.1870568689392298]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",rf
Ridge,0.4947482717319555,0.4149408685235513,0.5239627524231198,"[-2.6964875637942676, -3.1505671348065576, -1.455262701791224, -2.478774770208]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",tda
LinearSVR,0.4991494507518272,0.414064621105534,0.5154556219550837,"[-2.6135754029767377, -3.123590505554377, -1.6399166652240416, -2.4005046071728238]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",tda
RBF-SVR,0.44355259824960225,0.4176367852541375,0.6173844475860949,"[-2.157294960261632, -2.468763230027562, -1.7184166226906528, -1.8497571918518076]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",tda
