model,fold,rmse,mae,r2,feature_layer,task
Ridge,1,0.0641980294674611,0.050994449769913144,0.993527871993898,rf,regression_s21_max
Ridge,2,0.07479968102071533,0.04918646417993436,0.9926351649966805,rf,regression_s21_max
Ridge,3,0.0695639559997054,0.05410222295841049,0.9931374404047452,rf,regression_s21_max
Ridge,4,0.06213186441653692,0.04870466475124718,0.9946086398470046,rf,regression_s21_max
Ridge,5,0.0641137999418816,0.05023763524003723,0.993738614859568,rf,regression_s21_max
LinearSVR,1,0.06248375330793731,0.04294704666151014,0.9938689067600407,rf,regression_s21_max
LinearSVR,2,0.13102646233703502,0.050407616611857005,0.9774013986652714,rf,regression_s21_max
LinearSVR,3,0.08946598459979899,0.047671577781050335,0.9886490168975519,rf,regression_s21_max
LinearSVR,4,0.07446514451541637,0.04516772507695603,0.9922558163036952,rf,regression_s21_max
LinearSVR,5,0.0637624428787243,0.04288620304471666,0.9938070542194332,rf,regression_s21_max
RBF-SVR,1,0.1343197454618236,0.0749741996789902,0.9716675961958459,rf,regression_s21_max
RBF-SVR,2,0.25715193886184406,0.10606765546895496,0.9129551389704594,rf,regression_s21_max
RBF-SVR,3,0.12311884323499406,0.0762719936277876,0.9785035552746916,rf,regression_s21_max
RBF-SVR,4,0.13579290770201644,0.08010717999083497,0.9742472418983232,rf,regression_s21_max
RBF-SVR,5,0.10260802833360365,0.07356515148370152,0.9839627437794597,rf,regression_s21_max
RandomForest,1,0.0889022879996968,0.0714759696611045,0.9875883483228303,rf,regression_s21_max
RandomForest,2,0.10048001189633272,0.0734282590797191,0.9867100641204328,rf,regression_s21_max
RandomForest,3,0.08730946187061776,0.07110414290517714,0.9891896387149295,rf,regression_s21_max
RandomForest,4,0.07976788703431603,0.06347610888463075,0.9911136022281091,rf,regression_s21_max
RandomForest,5,0.08616660698609971,0.06860494577871196,0.9886904489149488,rf,regression_s21_max
GradBoost,1,0.06580346788281118,0.053365693434942754,0.9932001197242434,rf,regression_s21_max
GradBoost,2,0.0779161737964146,0.05555313629876897,0.992008675517859,rf,regression_s21_max
GradBoost,3,0.06633886203284321,0.05326684460498885,0.9937590080795936,rf,regression_s21_max
GradBoost,4,0.06317490203459193,0.050698414448215184,0.9944261057222193,rf,regression_s21_max
GradBoost,5,0.06527526210709694,0.05277605507768822,0.9935097020927534,rf,regression_s21_max
k-NN (k=7),1,0.28226482248191676,0.22173033933700942,0.8748827423199749,rf,regression_s21_max
k-NN (k=7),2,0.2998565212580424,0.22748013165785788,0.8816439325880578,rf,regression_s21_max
k-NN (k=7),3,0.281790615640846,0.21666032999883364,0.8873916390419063,rf,regression_s21_max
k-NN (k=7),4,0.2870369211899338,0.21893176310895218,0.8849345079675841,rf,regression_s21_max
k-NN (k=7),5,0.2847856911650941,0.22583487165381264,0.8764611050545613,rf,regression_s21_max
GaussProcR,1,0.04004755044025997,0.028949599030127632,0.9974814207746349,rf,regression_s21_max
GaussProcR,2,0.0634875701426302,0.03219914038879197,0.994694321364285,rf,regression_s21_max
GaussProcR,3,0.04030099073246784,0.030649486092399085,0.9976967078319748,rf,regression_s21_max
GaussProcR,4,0.04214794001839637,0.03131814477674362,0.997519025620588,rf,regression_s21_max
GaussProcR,5,0.040566674630088194,0.030725039963916248,0.9974932778398298,rf,regression_s21_max
Ridge,1,0.8041349835567685,0.6586457653624564,-0.015457181338758286,tda,regression_s21_max
Ridge,2,0.8481162222117238,0.6749552494533191,0.05316507197705589,tda,regression_s21_max
Ridge,3,0.8164249095547083,0.6503038593119846,0.05474261490846122,tda,regression_s21_max
Ridge,4,0.8287461862806079,0.6511222864904732,0.04079229526948258,tda,regression_s21_max
Ridge,5,0.8254989821168331,0.6627477824157251,-0.03800744149704238,tda,regression_s21_max
LinearSVR,1,0.8040597748213631,0.6604075028863812,-0.015267243876460945,tda,regression_s21_max
LinearSVR,2,0.8705428684685288,0.6928335544038755,0.002428911031003289,tda,regression_s21_max
LinearSVR,3,0.8203081662417175,0.6510023151612395,0.045729154754296286,tda,regression_s21_max
LinearSVR,4,0.8379893003628422,0.6592898535470917,0.019276640449304216,tda,regression_s21_max
LinearSVR,5,0.8401603283236783,0.675222649448346,-0.07520611117329135,tda,regression_s21_max
RBF-SVR,1,0.7947063085329514,0.6478207675020995,0.008216169033029463,tda,regression_s21_max
RBF-SVR,2,0.847684844093358,0.6810030608974897,0.05412800603107504,tda,regression_s21_max
RBF-SVR,3,0.8341107776563509,0.6612974908936263,0.013345613304211024,tda,regression_s21_max
RBF-SVR,4,0.8295547601455994,0.6575039603693068,0.03891966249023826,tda,regression_s21_max
RBF-SVR,5,0.8240987610126135,0.6591890628165098,-0.034489067067967394,tda,regression_s21_max
RandomForest,1,0.7847189158903218,0.6363646166231354,0.03298781681421503,tda,regression_s21_max
RandomForest,2,0.8384998495905335,0.6700622445627076,0.07451473613289139,tda,regression_s21_max
RandomForest,3,0.8270010952151735,0.6522953709477534,0.030093756714062447,tda,regression_s21_max
RandomForest,4,0.8291199661294826,0.6542639197540026,0.03992685933929041,tda,regression_s21_max
RandomForest,5,0.8224001297047328,0.649955893257424,-0.03022888706322746,tda,regression_s21_max
GradBoost,1,0.8017792067330981,0.6533999881690723,-0.009516172710207105,tda,regression_s21_max
GradBoost,2,0.8662648694047683,0.6935310880230301,0.012209296246734613,tda,regression_s21_max
GradBoost,3,0.8366305133343742,0.6627572751986,0.007375510951175612,tda,regression_s21_max
GradBoost,4,0.8398377867832798,0.656631199682645,0.014945193110553201,tda,regression_s21_max
GradBoost,5,0.8478713269786913,0.6772220815313972,-0.09503318377089154,tda,regression_s21_max
k-NN (k=7),1,0.8119345112496502,0.6594946530730604,-0.03525111177137563,tda,regression_s21_max
k-NN (k=7),2,0.8775436538710123,0.6986442266403333,-0.013680261010291739,tda,regression_s21_max
k-NN (k=7),3,0.8566376529631143,0.6768920817506892,-0.040667291423775564,tda,regression_s21_max
k-NN (k=7),4,0.8660603722595458,0.6910815717361651,-0.04752864430292214,tda,regression_s21_max
k-NN (k=7),5,0.8569870068937252,0.6811793959384105,-0.11870571765189109,tda,regression_s21_max
GaussProcR,1,0.7711502991092417,0.6303983403055722,0.0661400178453293,tda,regression_s21_max
GaussProcR,2,0.8295355708046719,0.6616338168293189,0.09419741256172565,tda,regression_s21_max
GaussProcR,3,0.806049682182029,0.6397191428818776,0.0786148516609404,tda,regression_s21_max
GaussProcR,4,0.8203289125146156,0.6472487618920603,0.06017799399869761,tda,regression_s21_max
